zipcode,id,year,dhouse,dlivedsf,dincome,dage,mode_phone,mode_web/phone,language_Chinese,language_English,language_Spanish,language_Tagalog,movesf_Not at all likely,movesf_Not too likely,movesf_Somewhat likely,movesf_Very likely,gender_Female,gender_Male,gender_Other,dethnic_Asian or Pacific Islander,dethnic_Black/African American,dethnic_Dont know,dethnic_Latino/Hispanic,dethnic_Mixed Ethnicity,dethnic_Native American/Indian,dethnic_Other,dethnic_Pacific Islander,dethnic_White/Caucasian,deduc_4 or more years of college/Post Graduate,deduc_High school,deduc_Less than 4 years of college,deduc_Less than high school
94102.0,201711173.08536586,2017.0,2.246913580246914,22.951219512195124,77323.94366197183,48.69135802469136,1.0,0.0,0.07317073170731707,0.9024390243902439,0.024390243902439025,0.0,0.5,0.18292682926829268,0.17073170731707318,0.13414634146341464,0.5853658536585366,0.4146341463414634,0.0,0.2804878048780488,0.0975609756097561,0.0,0.0,0.024390243902439025,0.3780487804878049,0.0,0.0975609756097561,0.10975609756097561,0.4146341463414634,0.24390243902439024,0.23170731707317074,0.08536585365853659
94103.0,201710977.52564102,2017.0,2.2948717948717947,21.076923076923077,111805.55555555556,48.42307692307692,0.9871794871794872,0.01282051282051282,0.01282051282051282,0.9743589743589743,0.01282051282051282,0.0,0.47435897435897434,0.21794871794871795,0.14102564102564102,0.16666666666666666,0.6282051282051282,0.3717948717948718,0.0,0.10256410256410256,0.08974358974358974,0.0,0.02564102564102564,0.0,0.4358974358974359,0.0,0.10256410256410256,0.20512820512820512,0.5384615384615384,0.1794871794871795,0.2564102564102564,0.02564102564102564
94104.0,201711219.75,2017.0,2.5454545454545454,10.727272727272727,113500.0,40.25,1.0,0.0,0.08333333333333333,0.75,0.16666666666666666,0.0,0.25,0.25,0.25,0.16666666666666666,0.75,0.25,0.0,0.25,0.08333333333333333,0.0,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.25,0.5833333333333334,0.3333333333333333,0.0,0.08333333333333333
94105.0,201711001.55555555,2017.0,1.9444444444444444,14.555555555555555,189666.66666666666,45.833333333333336,0.9444444444444444,0.05555555555555555,0.0,1.0,0.0,0.0,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.6111111111111112,0.3888888888888889,0.0,0.2777777777777778,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.5,0.0,0.05555555555555555,0.0,0.9444444444444444,0.05555555555555555,0.0,0.0
94107.0,201711080.29411766,2017.0,2.392156862745098,26.45098039215686,156914.89361702127,50.62,0.9607843137254902,0.0392156862745098,0.0,1.0,0.0,0.0,0.5686274509803921,0.1568627450980392,0.17647058823529413,0.09803921568627451,0.5294117647058824,0.45098039215686275,0.0,0.09803921568627451,0.11764705882352941,0.0,0.0196078431372549,0.0196078431372549,0.5882352941176471,0.0,0.0784313725490196,0.058823529411764705,0.6470588235294118,0.11764705882352941,0.19607843137254902,0.0392156862745098
94108.0,201711126.04347825,2017.0,2.590909090909091,11.826086956521738,95000.0,42.30434782608695,1.0,0.0,0.13043478260869565,0.8260869565217391,0.043478260869565216,0.0,0.43478260869565216,0.17391304347826086,0.2608695652173913,0.08695652173913043,0.6956521739130435,0.30434782608695654,0.0,0.4782608695652174,0.0,0.043478260869565216,0.043478260869565216,0.0,0.2608695652173913,0.0,0.0,0.08695652173913043,0.5652173913043478,0.13043478260869565,0.21739130434782608,0.08695652173913043
94109.0,201711101.99224806,2017.0,2.0930232558139537,22.0,123285.71428571429,51.166666666666664,0.9844961240310077,0.015503875968992248,0.03875968992248062,0.9457364341085271,0.015503875968992248,0.0,0.40310077519379844,0.2558139534883721,0.18604651162790697,0.12403100775193798,0.5503875968992248,0.43410852713178294,0.0,0.1937984496124031,0.046511627906976744,0.0,0.03875968992248062,0.031007751937984496,0.4806201550387597,0.007751937984496124,0.06976744186046512,0.06976744186046512,0.6666666666666666,0.10852713178294573,0.14728682170542637,0.06976744186046512
94110.0,201711135.9722222,2017.0,2.8222222222222224,24.805555555555557,148838.70967741936,49.09604519774011,0.9944444444444445,0.005555555555555556,0.0,0.8666666666666667,0.13333333333333333,0.0,0.5,0.23333333333333334,0.15555555555555556,0.1111111111111111,0.5611111111111111,0.43333333333333335,0.005555555555555556,0.044444444444444446,0.016666666666666666,0.0,0.027777777777777776,0.005555555555555556,0.5,0.0,0.05,0.3277777777777778,0.6388888888888888,0.1,0.16111111111111112,0.08333333333333333
94111.0,201710671.27272728,2017.0,1.8181818181818181,15.181818181818182,131111.11111111112,51.90909090909091,1.0,0.0,0.0,1.0,0.0,0.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.7272727272727273,0.2727272727272727,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.5454545454545454,0.0,0.0,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.18181818181818182,0.0
94112.0,201711122.63157895,2017.0,3.4140969162995596,25.387665198237887,101840.65934065935,48.763392857142854,0.9912280701754386,0.008771929824561403,0.15350877192982457,0.7894736842105263,0.039473684210526314,0.017543859649122806,0.5789473684210527,0.16228070175438597,0.16228070175438597,0.08333333333333333,0.45614035087719296,0.5219298245614035,0.0043859649122807015,0.37719298245614036,0.07894736842105263,0.0043859649122807015,0.013157894736842105,0.02631578947368421,0.20175438596491227,0.0,0.06578947368421052,0.20614035087719298,0.4473684210526316,0.16666666666666666,0.2543859649122807,0.10087719298245613
